"id","address_country","address_locality","address_region","postal_code","street_address","formatted_address","latitude","longitude","zoom","parish_id","name"
885,"FR","Ouroux-sur-Saône",,"71370","4 Place de l'Église","4, Place de l'Église, 71370 Ouroux-sur-Saône, France",46.7214501,4.9544225,,459,"Donnée de MesseInfo traitée par Google Maps."
886,"fr","PIERRE DE BRESSE",,"71270","5 route de Lays",,46.8880577,5.2577775,10,460,"Donnée importée de MesseInfo."
887,"FR","Pierre-de-Bresse",,"71270","5 Route de Lays","5, Route de Lays, 71270 Pierre-de-Bresse, France",46.8875382,5.2574701,,460,"Donnée de MesseInfo traitée par Google Maps."
888,"fr","EPINAC",,"71360","4 rue Emile Zola",,46.9925777,4.5119076999999,15,461,"Donnée importée de MesseInfo."
889,"FR","Épinac",,"71360","4 Rue Emile Zola","4, Rue Emile Zola, 71360 Épinac, France",46.9925777,4.5119077,,461,"Donnée de MesseInfo traitée par Google Maps."
890,"fr","LUGNY",,"71260","Cidex 1164",,46.471672,4.8098199999999,11,462,"Donnée importée de MesseInfo."
891,"fr","LA CHAPELLE DE GUINCHAY",,"71570","97 rue Jules Chauvet",,46.209537,4.7575469999999,14,463,"Donnée importée de MesseInfo."
892,"FR","La Chapelle-de-Guinchay",,"71570","97 Rue Jules Chauvet","97, Rue Jules Chauvet, 71570 La Chapelle-de-Guinchay, France",46.2098214,4.7545844,,463,"Donnée de MesseInfo traitée par Google Maps."
893,"fr","LUCENAY L'EVEQUE",,"71540","Le Bourg",,47.081251,4.2451094,14,464,"Donnée importée de MesseInfo."
894,"FR","Lucenay-l'Évêque",,"71540"," ",", , 71540 Lucenay-l'Évêque, France",47.081149,4.244744,,464,"Donnée de MesseInfo traitée par Google Maps."
895,"fr","CHALON SUR SAONE",,"71100","6 rue de Bourgogne",,46.7906068,4.8405995000001,15,465,"Donnée importée de MesseInfo."
896,"FR","Chalon-sur-Saône",,"71100","6 Rue de Bourgogne","6, Rue de Bourgogne, 71100 Chalon-sur-Saône, France",46.7905174,4.8403031,,465,"Donnée de MesseInfo traitée par Google Maps."
897,"fr","DIGOIN",,"71160","1 place de l'Hôtel de Ville",,46.4812385,3.9778646,15,466,"Donnée importée de MesseInfo."
898,"FR","Digoin",,"71160","14 Place de L Hôtel de ville","14, Place de L Hôtel de ville, 71160 Digoin, France",46.4819786,3.9779851,,466,"Donnée de MesseInfo traitée par Google Maps."
899,"fr","CUISEAUX",,"71480","20 rue du Repos",,46.4939975,5.3903225,15,467,"Donnée importée de MesseInfo."
900,"FR","Cuiseaux",,"71480","20 Rue du Repos","20, Rue du Repos, 71480 Cuiseaux, France",46.4940863,5.3902054,,467,"Donnée de MesseInfo traitée par Google Maps."
901,"fr","MACON",,"71000","20 rue des Minimes",,46.3043707,4.831768,15,468,"Donnée importée de MesseInfo."
902,"FR","Mâcon",,"71000","20 Rue des Minimes","20, Rue des Minimes, 71000 Mâcon, France",46.3044681,4.8318377,,468,"Donnée de MesseInfo traitée par Google Maps."
903,"fr","VERDUN SUR LE DOUBS",,"71350","Rue de Beaune",,46.8980238,5.0189754,13,469,"Donnée importée de MesseInfo."
904,"FR","Verdun-sur-le-Doubs",,"71350"," Rue de Beaune",", Rue de Beaune, 71350 Verdun-sur-le-Doubs, France",46.8985706,5.0179738,,469,"Donnée de MesseInfo traitée par Google Maps."
905,"fr","CUISERY",,"71290","88 rue de l'Eglise",,46.5599926,5.0022207,15,470,"Donnée importée de MesseInfo."
906,"FR","Cuisery",,"71290","88 Rue de l'Église","88, Rue de l'Église, 71290 Cuisery, France",46.5599296,5.0023749,,470,"Donnée de MesseInfo traitée par Google Maps."
907,"fr","MONTCEAU LES MINES",,"71300","16 rue Blanqui",,46.6749584,4.3647942,15,471,"Donnée importée de MesseInfo."
908,"FR","Montceau-les-Mines",,"71300","16 Rue Blanqui","16, Rue Blanqui, 71300 Montceau-les-Mines, France",46.6748985,4.3647174,,471,"Donnée de MesseInfo traitée par Google Maps."
909,"fr","BOURBON LANCY",,"71140","7 rue des Enclos",,46.6199983,3.7760576000001,15,472,"Donnée importée de MesseInfo."
910,"FR","Bourbon-Lancy",,"71140","7 Rue des Enclos","7, Rue des Enclos, 71140 Bourbon-Lancy, France",46.6200949,3.7761723,,472,"Donnée de MesseInfo traitée par Google Maps."
911,"fr","LE CREUSOT",,"71200","6 rue Guynemer",,46.8017525,4.4467283,15,473,"Donnée importée de MesseInfo."
